Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1861,633,1,4,2,1901,Urban,Fair,No,514764
354,3856,1,1,2,1901,Urban,Fair,No,694256
1334,1598,5,4,1,2013,Urban,Excellent,No,66375
906,1705,3,1,2,1996,Downtown,Good,Yes,650243
1290,2564,5,2,3,1994,Downtown,Good,Yes,223285
1274,3219,5,1,2,1954,Urban,Good,Yes,468127
939,2565,2,4,3,2014,Urban,Good,Yes,513002
1732,3131,2,4,3,1962,Suburban,Fair,Yes,911525
66,1775,5,2,3,1946,Urban,Excellent,No,723265
1324,4109,2,2,3,2002,Urban,Fair,Yes,339416
57,3113,3,2,2,1979,Suburban,Excellent,No,913498
1293,3014,4,1,3,1932,Suburban,Poor,Yes,657493
1119,3794,4,3,1,1905,Suburban,Poor,No,259727
585,2581,4,3,2,1956,Rural,Excellent,No,345187
375,3587,3,4,2,1921,Rural,Good,Yes,688751
276,2395,1,1,1,1993,Suburban,Fair,Yes,777513
747,4734,4,1,2,1960,Downtown,Good,Yes,506388
129,3175,5,3,3,1908,Suburban,Excellent,Yes,589618
1647,1321,4,3,3,1983,Rural,Fair,No,984581
1853,1060,3,2,1,1941,Urban,Fair,No,683801
675,3297,1,2,2,1957,Suburban,Good,Yes,697861
1665,1461,5,4,2,1985,Downtown,Excellent,No,464248
1982,4076,5,4,2,1985,Rural,Excellent,No,663529
1084,4590,4,1,3,1929,Rural,Fair,No,578742
1923,2008,2,3,3,1931,Downtown,Fair,No,673944
100,4988,2,3,2,2022,Suburban,Good,No,777688
1180,1463,2,2,1,1946,Urban,Fair,Yes,402131
965,2643,1,3,1,2023,Downtown,Fair,No,628528
793,1565,1,3,2,1981,Rural,Good,No,759441
30,2028,2,4,1,1929,Downtown,Excellent,No,206547
629,4542,3,4,1,2003,Urban,Good,No,908754
945,1446,2,4,3,2000,Urban,Excellent,No,821668
573,904,2,1,2,1940,Suburban,Poor,No,292726
908,2490,2,2,3,2014,Suburban,Good,Yes,144791
1081,2822,4,2,1,2011,Downtown,Good,No,788661
451,4136,4,4,1,1910,Suburban,Poor,Yes,857605
1610,1698,2,2,3,1960,Downtown,Poor,Yes,490691
1291,4955,5,1,3,2003,Suburban,Excellent,Yes,681866
1079,4049,3,4,2,1977,Suburban,Poor,No,545951
255,3065,5,2,1,1957,Urban,Poor,No,317724
125,3802,2,4,1,1932,Downtown,Excellent,No,180509
1928,2049,4,1,1,1900,Rural,Fair,No,193092
252,3024,2,1,1,1969,Suburban,Poor,No,866037
586,3919,2,3,2,2014,Downtown,Poor,Yes,186343
1569,1774,1,2,2,1979,Rural,Excellent,No,270172
825,3568,3,4,3,1930,Suburban,Fair,Yes,760595
508,2031,1,3,3,1944,Rural,Excellent,Yes,684157
890,3208,5,2,1,1949,Downtown,Fair,Yes,367006
71,4493,4,4,3,1984,Downtown,Good,Yes,689604
1609,4681,3,3,2,1969,Downtown,Excellent,Yes,174451
1533,4428,3,4,1,1954,Downtown,Fair,No,309383
248,3620,4,3,2,1925,Rural,Fair,Yes,786091
1451,3961,2,2,3,1933,Suburban,Excellent,No,733045
213,4423,4,2,2,1954,Suburban,Excellent,No,907158
910,4880,3,1,1,1980,Urban,Poor,Yes,945150
1742,2084,2,2,1,1984,Rural,Fair,No,642127
1245,1295,2,2,3,1967,Suburban,Excellent,No,456339
1697,1463,1,4,1,1928,Urban,Fair,Yes,391530
1183,2328,3,4,1,2017,Downtown,Poor,Yes,70875
362,2979,5,4,2,1917,Rural,Excellent,Yes,694566
1474,2489,4,1,2,1916,Rural,Poor,No,737859
679,3586,4,3,1,1929,Downtown,Excellent,No,968451
1622,3624,4,4,3,1918,Rural,Poor,Yes,458275
1090,1841,3,3,2,1974,Suburban,Excellent,Yes,643358
1988,3588,4,1,3,1929,Urban,Poor,No,59765
1848,905,1,3,1,1942,Urban,Excellent,No,687096
988,3690,1,3,1,1952,Suburban,Good,Yes,529898
1513,2647,2,2,2,2014,Downtown,Excellent,Yes,171246
112,3814,2,3,2,1904,Suburban,Poor,Yes,971600
1488,2571,3,3,3,1962,Urban,Fair,Yes,493884
1454,909,1,2,3,2021,Downtown,Excellent,Yes,71797
384,2927,2,3,3,1950,Rural,Fair,No,378756
1396,4066,5,1,3,1934,Urban,Poor,Yes,332902
1055,4693,2,3,3,1947,Suburban,Poor,No,457435
756,2560,3,2,2,2000,Urban,Excellent,Yes,229480
325,1135,2,2,3,1991,Suburban,Poor,Yes,393288
1624,2908,1,1,3,1957,Suburban,Good,No,837718
788,3398,5,1,2,1990,Urban,Fair,No,922183
369,4230,1,3,3,2018,Suburban,Good,No,74815
1820,736,2,3,2,1942,Rural,Good,Yes,276710
70,1576,3,4,2,1989,Rural,Good,Yes,433800
858,2688,4,2,3,1949,Downtown,Fair,No,794809
1484,4388,5,4,2,1961,Suburban,Excellent,Yes,887654
1556,3692,1,4,3,1934,Urban,Good,Yes,847051
1692,1214,1,1,2,1915,Downtown,Fair,No,961604
1475,1161,2,4,1,1958,Urban,Poor,Yes,934336
1799,1994,2,1,1,1910,Urban,Fair,No,970764
479,2180,5,1,1,2003,Rural,Fair,Yes,800385
282,3509,1,4,2,1997,Suburban,Good,Yes,169894
1648,954,4,4,2,1964,Suburban,Excellent,Yes,956906
1557,3678,2,3,1,1962,Suburban,Fair,Yes,679742
1730,2925,1,3,3,1998,Rural,Good,Yes,454364
211,1945,4,3,3,1943,Suburban,Fair,Yes,882184
298,2868,5,3,3,1939,Suburban,Fair,No,690360
1885,4687,4,1,3,1976,Downtown,Excellent,Yes,828810
1834,3285,5,4,1,1956,Suburban,Poor,No,674652
652,2468,4,3,3,1903,Suburban,Poor,Yes,221955
1234,1918,4,4,2,1903,Rural,Excellent,Yes,107941
1503,4509,2,3,1,2003,Rural,Poor,No,638577
1932,4981,3,4,3,1901,Downtown,Good,Yes,222349
917,1188,5,2,3,1966,Rural,Good,Yes,655266
994,3401,2,4,2,1996,Rural,Excellent,No,956644
430,4266,1,4,3,1993,Suburban,Poor,No,73466
1371,1192,3,2,1,1999,Urban,Poor,No,971463
240,3936,4,4,1,1929,Urban,Good,No,432605
880,3361,1,2,2,1942,Suburban,Good,Yes,787341
621,4079,5,4,2,1988,Urban,Excellent,No,199333
257,2827,2,1,2,1941,Suburban,Excellent,No,317544
