Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
969,4483,4,4,3,1933,Urban,Excellent,No,434325
241,1062,3,3,1,1970,Downtown,Good,No,614772
820,1422,3,4,1,1993,Urban,Good,Yes,922811
693,2658,2,3,1,1972,Rural,Poor,Yes,794314
421,3286,2,4,1,1981,Rural,Excellent,Yes,796988
1086,829,4,1,2,1902,Downtown,Excellent,Yes,72873
1999,4062,3,1,2,1936,Urban,Excellent,Yes,161119
366,2570,3,3,2,1991,Rural,Fair,Yes,156968
1023,540,2,4,1,1906,Urban,Excellent,Yes,640846
1241,536,1,4,1,1930,Urban,Fair,Yes,686364
589,1173,5,3,3,1993,Urban,Fair,Yes,895177
737,1641,4,2,1,1940,Suburban,Fair,Yes,762787
1762,4406,5,3,2,1926,Rural,Poor,No,230697
942,4789,2,4,3,1926,Urban,Poor,No,591567
72,879,5,4,1,1916,Rural,Excellent,Yes,740807
1408,3436,4,2,2,1995,Downtown,Fair,No,445991
260,4776,5,3,1,1999,Urban,Poor,No,932464
52,2085,2,3,2,1935,Urban,Poor,Yes,405446
199,3608,2,3,1,1929,Downtown,Fair,Yes,455427
1789,3561,5,4,3,1935,Urban,Good,No,522803
651,3093,1,4,1,1906,Urban,Poor,Yes,415863
333,616,1,4,2,1912,Rural,Fair,No,957278
1360,4110,2,4,1,1916,Suburban,Poor,Yes,256994
594,2484,5,1,3,1976,Rural,Good,No,922402
1392,773,1,1,3,2021,Urban,Fair,Yes,496049
1801,1161,2,4,3,1951,Urban,Poor,Yes,577433
1315,1262,5,2,3,1953,Suburban,Fair,Yes,487513
1112,4930,3,2,2,1954,Rural,Good,No,56457
1007,736,3,2,3,1939,Downtown,Good,Yes,998128
1327,3856,4,3,3,1995,Urban,Poor,Yes,198388
427,4632,3,3,3,1966,Urban,Fair,No,668308
1559,2712,5,4,2,1999,Suburban,Poor,Yes,839981
1294,4026,1,2,3,1919,Suburban,Fair,Yes,910513
591,1270,1,1,3,1997,Downtown,Poor,No,240191
1958,4700,3,3,1,1917,Rural,Good,Yes,253426
1977,4426,1,3,3,2017,Rural,Good,No,254739
1133,4959,1,1,2,1916,Suburban,Good,Yes,77603
986,4094,1,4,3,2017,Suburban,Good,No,92628
399,3274,5,3,1,1978,Downtown,Excellent,No,517667
1512,4091,3,1,2,1952,Suburban,Poor,No,872457
437,4992,5,2,2,1928,Downtown,Good,No,810006
193,762,1,2,2,2013,Urban,Fair,No,828559
1436,2770,4,3,1,1919,Rural,Fair,Yes,836458
615,3677,1,4,3,2015,Downtown,Good,No,651516
1494,2212,1,2,3,1969,Rural,Excellent,No,203405
577,1960,1,3,2,1900,Downtown,Excellent,Yes,756168
987,1909,4,3,2,2008,Rural,Fair,Yes,857784
1433,2425,1,2,3,1963,Suburban,Excellent,No,462699
707,1812,5,4,1,1924,Suburban,Poor,Yes,650577
1259,4811,5,4,2,1911,Rural,Poor,No,620569
142,1791,2,3,3,1992,Urban,Poor,No,670103
1358,2309,2,2,3,1919,Downtown,Poor,Yes,960835
3,3592,2,2,3,1938,Downtown,Good,No,266746
1222,2433,4,2,1,2017,Downtown,Fair,No,800071
1870,1292,5,1,1,1921,Downtown,Poor,Yes,168632
1623,1827,1,3,3,1967,Downtown,Fair,Yes,622686
340,1012,2,2,1,1917,Urban,Fair,Yes,928247
1770,3101,1,1,3,1949,Rural,Excellent,Yes,481172
1537,1752,3,2,3,1920,Suburban,Good,Yes,862267
484,2327,1,4,1,1977,Downtown,Excellent,No,783478
266,2800,2,2,3,1917,Rural,Fair,Yes,383857
377,835,4,2,2,1905,Rural,Fair,Yes,514151
742,2548,1,1,3,1924,Suburban,Fair,Yes,305494
1014,2576,2,4,1,1952,Urban,Poor,Yes,894445
440,4671,3,2,3,1976,Rural,Fair,No,594929
272,627,5,2,2,1943,Downtown,Fair,Yes,983671
185,988,5,1,2,1930,Rural,Poor,Yes,984499
940,1268,1,4,1,1987,Suburban,Good,Yes,196444
245,1459,3,2,1,1966,Downtown,Poor,Yes,218332
932,2579,5,3,1,1913,Suburban,Fair,Yes,487509
446,4077,2,4,3,1947,Urban,Good,No,965986
597,888,5,4,2,1953,Downtown,Excellent,Yes,486056
818,977,5,4,1,2002,Rural,Excellent,No,229238
1273,3308,4,4,3,1976,Rural,Fair,No,752124
1677,3522,1,3,1,2017,Rural,Good,No,263766
487,2310,1,1,2,1964,Rural,Excellent,No,946881
681,1213,5,3,2,1952,Rural,Good,No,837560
416,3308,5,3,1,1947,Rural,Excellent,No,845415
274,2316,1,4,3,1952,Downtown,Excellent,Yes,271775
1472,806,2,4,1,2007,Suburban,Good,No,843802
1830,1512,5,2,2,1991,Rural,Fair,Yes,441731
1455,1394,2,4,3,2012,Urban,Good,No,948407
251,2705,3,4,3,1952,Rural,Fair,Yes,823202
414,1228,4,2,3,1969,Downtown,Excellent,Yes,322201
1386,1083,5,4,2,1988,Urban,Poor,No,191668
1308,3252,1,3,1,1984,Rural,Fair,Yes,661473
716,2897,1,4,3,1989,Downtown,Good,No,398684
311,3761,3,2,3,1982,Downtown,Excellent,No,575285
927,2762,4,4,2,1980,Suburban,Poor,No,650988
382,2431,5,4,3,1913,Downtown,Excellent,Yes,406686
1566,2242,1,3,2,2000,Suburban,Poor,Yes,543496
426,2187,5,2,2,1904,Urban,Fair,No,145149
1875,3446,5,4,2,1996,Rural,Fair,Yes,569826
533,3283,5,3,1,1987,Urban,Fair,No,189148
753,760,5,1,3,1996,Urban,Good,No,326383
766,2538,3,1,2,2021,Suburban,Poor,No,847399
1357,1291,4,3,2,2013,Urban,Fair,Yes,347391
409,3767,4,2,3,2001,Downtown,Poor,No,890172
1615,4219,3,3,2,1982,Rural,Poor,No,989203
695,1993,5,4,3,1931,Downtown,Good,Yes,70557
1739,645,2,3,2,1916,Downtown,Excellent,Yes,231676
549,1424,1,1,1,2004,Downtown,Good,Yes,488866
937,785,3,3,3,2009,Downtown,Good,No,313369
1390,4667,5,1,2,1995,Suburban,Fair,No,932169
1608,2018,1,4,2,1987,Downtown,Poor,Yes,145259
1940,4768,2,3,1,1908,Rural,Excellent,No,401301
1482,852,1,3,1,1990,Suburban,Good,No,874254
183,2234,1,2,1,2017,Rural,Fair,No,747621
1941,1171,1,1,2,1921,Urban,Excellent,No,270319
1161,2924,4,2,3,1907,Rural,Fair,Yes,230685
171,1647,4,3,1,1967,Rural,Good,No,295752
293,2955,1,1,2,1978,Suburban,Good,Yes,792476
562,4969,5,3,2,1919,Downtown,Good,Yes,235922
1457,4609,1,2,3,1961,Rural,Good,No,820227
1877,2460,3,2,1,1913,Suburban,Fair,No,756502
